species,species occurence frequency (pool),threatened,N_variance,P_variance,K_variance,NP_variance,NK_variance,KP_variance,N_median,P_median,K_median,NP_median,NK_median,KP_median
Caltha palustris,395,No,13.09,0.48,46.31,0.19,0.32,0.54,14.38,1.32,10.27,11.32,1.33,8.56
Campanula patula,33,Yes,10.59,0.15,20.78,0.11,0.72,0.51,11.13,1.81,5.8,6.69,1.99,4.47
Campanula rotundifolia,31,No,2.29,0.02,9.91,0.03,0.08,0.06,16.88,0.76,10.68,23.08,1.57,15.44
Cardamine pratensis,465,No,14.38,0.69,51.02,0.22,0.35,0.5,14.48,1.42,10.71,10.44,1.28,8.31
Cardaminopsis arenosa,27,No,8.39,0.12,18.74,0.09,0.69,0.5,11.18,1.81,5.58,6.68,2.15,2.82
Carduus defloratus,11,No,1.47,0.01,7.07,0.02,0.06,0.05,16.11,0.75,10.15,21.43,1.73,14.09
Carex acuta,350,No,14.64,0.58,43,0.17,0.37,0.43,14.74,1.53,10.33,9.57,1.39,7.14
Carex acutiformis,184,No,14.38,0.56,42.11,0.16,0.29,0.29,13.83,1.55,13.13,9.05,1.01,8.57
Carex appropinquata,162,Yes,6.52,0.25,60.34,0.18,0.18,0.32,13.34,0.92,11.28,14.42,1.12,12.7
Carex buxbaumii,27,Yes,12,0.06,15.91,0.03,0.4,0.41,14.2,0.84,8,16.88,1.77,9.76
Carex caryophyllea,52,Yes,6.05,0.09,13.31,0.15,0.13,0.27,16.75,0.8,11.37,21.11,1.42,14.82
Carex cespitosa,106,Yes,7.89,0.28,70.64,0.16,0.19,0.36,13.49,1.14,12.69,12.35,1,12.12
Carex chordorrhiza,168,Yes,7,0.26,58.92,0.22,0.21,0.32,13.18,0.84,10.39,16.04,1.19,13.55
Carex curta,50,No,9.49,0.43,21.65,0.21,0.27,0.47,14.93,1.2,7.51,12.6,1.91,6.09
Carex diandra,282,Yes,9.06,0.33,50.04,0.22,0.22,0.35,13.31,0.96,10.39,14.1,1.2,11.24
Carex dioica,207,Yes,7.49,0.31,60.32,0.23,0.26,0.31,13.21,0.83,9.98,16.38,1.23,12.32
Carex disticha,336,No,14.41,0.62,48.02,0.17,0.42,0.4,14.89,1.77,11.25,8.87,1.26,7
Carex echinata,86,No,12.05,0.42,24.35,0.26,0.26,0.38,14.24,0.83,6.59,16.24,2.1,9.27
Carex elata,278,No,9.33,0.34,50.45,0.22,0.25,0.35,13.32,0.96,11.3,14.29,1.15,11.58
Carex flacca,88,No,8.69,0.31,27.8,0.24,0.28,0.22,15.63,0.84,12.48,18.37,1.2,14.02
Carex flava,73,Yes,13.98,0.11,19.61,0.22,0.35,0.37,15.98,0.83,9.7,19.21,1.6,12.11
Carex hirta,174,No,21.16,0.65,66.98,0.14,0.52,0.43,14.43,2.06,14.02,6.82,1.01,7.32
Carex hostiana,101,Yes,10.14,0.12,22.44,0.13,0.24,0.22,15.49,0.8,10.28,20.16,1.56,12.83
Carex humilis,18,No,2.27,0.01,8.69,0.02,0.06,0.04,16.27,0.74,10.29,23.84,1.7,15.47
Carex lasiocarpa,304,Yes,9.58,0.28,51.59,0.21,0.29,0.39,13.41,0.96,10,14.48,1.26,10.99
Carex lepidocarpa,153,Yes,7.41,0.23,55.05,0.19,0.19,0.33,13.41,0.87,10.56,15.79,1.19,13.28
Carex limosa,167,Yes,7.62,0.23,54.22,0.21,0.25,0.31,12.92,0.81,9.46,16.94,1.32,12.68
Carex magellanica,53,Yes,9.9,0.06,11.64,0.14,0.14,0.21,11.2,0.49,5.89,22.78,1.87,10.98
Carex meyeriana,10,No,9.62,0.06,10.45,0.1,0.05,0.15,13.48,0.72,9.79,19.37,1.31,14.62
Carex montana,30,No,2.28,0.02,8.43,0.03,0.07,0.05,16.91,0.77,10.55,22.41,1.6,14.82
Carex nigra,439,No,12.91,0.55,43.63,0.21,0.35,0.51,14.41,1.33,10.14,11.16,1.35,8.4
Carex oederi,10,No,15.85,0.38,9.37,0.25,0.09,0.15,17.2,1.02,12.3,16.48,1.41,11.88
Carex otrubae,12,No,9.07,0.19,18.7,0.04,0.07,0.1,14.1,1.91,16.78,7.73,0.89,9.74
Carex ovalis,65,No,15.84,0.29,20.51,0.25,0.42,0.55,13.19,1.56,7.21,9.14,1.99,4.76
Carex panicea,376,No,12.48,0.42,30.51,0.26,0.32,0.49,14.34,1.05,9.55,13.41,1.47,9.58
Carex paniculata,30,No,15.85,0.3,24.74,0.09,0.32,0.35,13.58,1.55,12.81,9.8,1.09,8.49
Carex pauciflora,16,Yes,1.72,0.02,3.44,0.07,0.14,0.18,9.95,0.44,4.42,21.68,2.48,9.1
Carex pseudocyperus,14,No,6.27,0.12,43.15,0.05,0.1,0.09,11.55,0.87,9.88,13.5,1.1,11.17
Carex pulicaris,76,Yes,11.9,0.05,17.45,0.07,0.15,0.13,16.16,0.77,9.9,22.7,1.69,13.08
