mrd,Rz,Treatment,dafs
-6.352249248966794,48,Sync2,13
-7.197403075934848,48,Sync2,15
-7.619441313568435,48,Sync2,18
-9.362401762855509,48,Sync2,20
-9.326615495168912,48,Sync2,22
-10.03028793227457,48,Sync2,25
-11.066272151869253,48,Sync2,27
-11.584807604774168,48,Sync2,29
-12.434316170192805,48,Sync2,32
-13.4986338818954,48,Sync2,34
0,49,F-first,2
-0.7598752136713502,49,F-first,4
-2.179414651230919,49,F-first,7
-3.9030582539455447,49,F-first,9
-5.150915090274792,49,F-first,11
-6.739674928392759,49,F-first,14
-8.737068669145637,49,F-first,16
-8.438331141064745,49,F-first,18
-8.753736920289507,49,F-first,21
-9.519821912824238,49,F-first,23
-10.231609458724916,49,F-first,25
-10.719773282919167,49,F-first,28
-12.255563974461433,49,F-first,30
-11.937023484799411,49,F-first,32
-12.021714857946392,49,F-first,35
-12.386634746407102,49,F-first,37
-12.4699651982494,49,F-first,39
-12.778879971077975,49,F-first,42
-13.32587626171491,49,F-first,44
0,53,Sync2,1
-2.182629832256676,53,Sync2,4
-3.9474491248971377,53,Sync2,6
-4.496790427832752,53,Sync2,8
